ID;Site;Latitude ;Longitude ;Exact location ;Literary source;Site type;Min_date;Max_date;Bibliography - title nr. 1 ;DOI;Bibliography - title nr. 2 ;DOI;Notes
300;Gergeri;35,132511;24,948747;N;;settlement;301;824;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;;coins Heraklius, Michael II, also coin of Shu'ayb b. abu-Hafs Umar, coordinates: village center
301;Gergeri;35,132511;24,948747;N;;settlement;961;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;;coins Heraklius, Michael II, also coin of Shu'ayb b. abu-Hafs Umar, coordinates: village center
302;Gergeri;35,132511;24,948747;N;;coin;610;614;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;;Heraklius, coordinates: village center
303;Gergeri;35,132511;24,948747;N;;coin;820;829;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;;Michael II: coordinates: village center
304;Gergeri;35,132511;24,948747;N;;coin;855;880;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;; coin of Shu'ayb b. abu-Hafs Umar, coordinates: village center
305;Giannoudi;35,348804;24,529856;Υ;;coin;824;961;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;;;a few km SE of Rethymno, coordinates: village center
306;Giorgioupoli;35,361668;24,261033;Υ;;settlement\church;313;824;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
307;Giorgioupoli;35,361668;24,261033;Υ;;settlement\church;961;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
308;Gonia  (Koimithi Theotokou);35,325538;24,423114;Υ;;church;961;1205;Gerola, Giuseppe, and K. E. Lassithiotakes. 1961. Topographikos katalogos ton toichographemenon ekklesion tes Κretes. Herakleion: Ekdosis Etairias Kretikon istorikon meleton.;;Lassithiotakes, Konstantinos. 1969. Ekklesies tes Dytikes Kretes. Kretika chronika 21. 177 - 233, 459 - 493. ;;
309;Gonies;35,229947;25,442409;Υ;;settlement\church;401;800;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
310;Gonies;35,229947;25,442409;Υ;;settlement\church;901;1000;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
311;Gortyna - Akropolis - Ag. Ioannis;35,065521;24,945165;Y;Y;city\fortification\church\cistern      ;201;1205;Di Vita, Antonio. (ed.) 2004: Gortina VI. Scavi 1979-1982, Monografie della Scuola archeologica di Atene e delle missioni italiane in Oriente 14, Padua.;;PERNA, R. 2012: L Acropoli di Gortina. La tavola A della carta archeologica della città di Gortina, Simple, Macerata.;;Official site: Αριθ. 9597, ΥΠΠΟ/ΑΡΧ/01/Φ38/38550/996 π.ε., ΥΠΠΟ/ΑΡΧ/Α1/Φ23/16202/687
312;Gortyna ;35,062165;24,946849;Y;Y;city\cemetery;201;1205;Di Vita, Antonio. (ed.) 2004: Gortina VI. Scavi 1979-1982, Monografie della Scuola archeologica di Atene e delle missioni italiane in Oriente 14, Padua.;;Di Vita, Antonio. (ed.) 2001: Gortina V.3. Lo scavo del Pretorio (1989-1995), t. I, I Materiali, Monografie della Scuola archeologica di Atene e delle missioni italiane in Oriente 12, Padua.;;coordinates: Ag. Titus
313;Gortyna Rotonda ;35,059217;24,946366;Y;Y;church\coin\settlement;201;300;ΑΔ Β2 Χρονικά 54 (1951);;;;
314;Gortyna Rotonda ;35,059217;24,946366;Y;Y;church\coin\settlement;501;600;ΑΔ Β2 Χρονικά 54 (1951);;;;
315;Gortyna Rotonda ;35,059217;24,946366;Y;Y;church\coin\settlement;701;800;ΑΔ Β2 Χρονικά 54 (1951);;;;
316;Gouledniana (Kares), ancient Phalana;35,276254;24,5111107;Y;;settlement\church;401;824;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Andrianakes, Michales G. and Giapitsoglou, Kostas D. 2014. Christianika mnemeia tes Kretes. Heraklion. ;;
317;GOUR101;35,071196;25,809626;Y;;settlement;201;400;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
318;GOUR102;35,069096;25,808253;Y;;settlement;301;700;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
319;GOUR103;35,068481;25,806515;Y;;settlement;401;800;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
320;GOUR104;35,067515;25,80703;Y;;settlement;201;700;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
14;GOUR107;35,062496;25,811852;Y;;settlement;401;700;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
322;GOUR91;35,070613;25,813778;Y;;settlement;201;400;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
323;Gournia (Asi Gonia);35,275018;24,2845214;Y;;settlement;401;824;Antourakes, Georgios. 1977. Ai monai Myriokefalon kai Roustikon Kretes meta ton parekklesion auton. Athens. ;;;;digit
324;Gournia Pigi - FES 29;35,067658;24,828377;Y;;settlement;801;1205;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology;;;;
325;Grass Forteza (Siteia);35,211103;26,10751;Υ;;settlement;401;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
326;Gyristo (Thronos);35,263968;24,627293;Y;;settlement;301;824;Belgiorno, M. R. 1994. Ricognizione nel territorio dell’ anticaSybrita. in L. Rocchetti (ed.), Sybrita. La valle di Amari fra Bronzo eFerro. Incunabula Graeca 96, Roma, 201-227.;;;;
327;Hagios Georgios - GOUR88;35,071849;25,81219;Y;;settlement;201;700;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
328;Hagios Georgios - GOUR92;35,070154;25,816621;Y;;settlement;201;700;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
329;Heraklion - Almyrou street (N. Zacharaki plot);35,341227;25,133684;Υ;;settlement;201;1205;ΑΔ 61 (2006);;;;Arab coint, coordinates: middle of the street
330;Heraklion - Almyrou street (N. Zacharaki plot);35,341227;25,133684;Υ;;coin;824;961;ΑΔ 61 (2006);;;;Arab coint, coordinates: middle of the street
331;Heraklion - Aretousas 6;35,33919;25,135794;Υ;;settlement;201;700;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
332;Heraklion - Daidalou str. ;35,338637;25,134726;Υ;;settlement\cemetery\church\fortification ;201;1205;ΑΔ Β2 Χρονικά 42, (1987);;Pariente, A. 1994. Chronique des fouilles et découvertes archéologiques en Grèce en 1993. Bulletin de Correspondance Hellénique 118, 695–866.;;
333;Heraklion - Erotokritou 5;35,341277;25,13309;Υ;;cistern;901;1205;ΑΔ Β2 Χρονικά 63 (2008);;;;p.1213 - bibliogrphy - parallels
334;Heraklion - Chandakos street (in the walls);35,3399;25,131828;Υ;;settlement;201;824;ΑΔ Β2 Χρονικά 63 (2008);;;;
335;Heraklion - Chandakos street (in the walls);35,3399;25,131828;Y;;settlement;961;1205;ΑΔ Β2 Χρονικά 63 (2008);;;;
336;Heraklion - Merampellou str. ;35,339749;25,136445;Υ;;settlement;201;824;ΑΔ Β2 Χρονικά 48 (1993);;ΑΔ Β2 Χρονικά 51, 1996. ΚΓ΄Εφορεία Προϊστορικών και Κλασσικών Αρχαιοτήτων. Ανασκαφηκές εργασίες. 621 - 625. Αθήναι. ;;
337;Heraklion - Merampellou str. ;35,339749;25,136445;Y;;settlement;961;1205;ΑΔ Β2 Χρονικά 48 (1993);;ΑΔ Β2 Χρονικά 51, 1996. ΚΓ΄Εφορεία Προϊστορικών και Κλασσικών Αρχαιοτήτων. Ανασκαφηκές εργασίες. 621 - 625. Αθήναι. ;;
338;Heraklion - Moni Kardiotissas and Ioanninon ;35,33743;25,129127;Υ;;settlement;201;824;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
339;Heraklion - Moni Kardiotissas and Ioanninon ;35,33743;25,129127;Y;;settlement;961;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
340;Heraklion - museum ;35,339195;25,137342;Υ;;settlement\cemetery\cistern\fortification;201;1205;ΑΔ 16 (1960). Αρχαιόττες και μνημεία της Κρήτης, 254-275. Αθήναι. ;;Starida, Liana. 2011. To araviko frourio tes tafrou opos apokalyptetai apo tis anaskafikes ereynes. Graeco-Arabica XI, 105-118.;;
341;Heraklion - Paravoliasaki x Koronaiou ;35,340687;25,134047;Υ;;cistern;901;1205;ΑΔ Β2 Χρονικά 63 (2008);;;;p.1213 - bibliogrphy - parallels
342;Heraklion - Prevelaki x Grevenon junction;35,341503;25,131188;Υ;;settlement;1101;1205;ΑΔ 61 (2006);;;;
343;Heraklion - S. M.G.M. Koltsikoglou and Dimitroulaki plot;35,335414;25,134521;Υ;;settlement;301;824;ΑΔ 61 (2006);;;;Between Jesus Christ Gate and Vigla Square. 
344;Heraklion - S. M.G.M. Koltsikoglou and Dimitroulaki plot;35,335414;25,134521;Y;;settlement;961;1205;ΑΔ 61 (2006);;;;Between Jesus Christ Gate and Vigla Square. 
345;Heraklion - Xekardaki x Chortatson;35,340867;25,130886;Υ;;cistern;901;1205;ΑΔ Β2 Χρονικά 63 (2008);;;;p.1213 - bibliogrphy - parallels
346;Heraklion (Chandax);35,339144;25,133149;Y;Y;city\cemetery\church\coin\fortification  ;201;1205;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;coordinates:Liontaria
347;Heraklion Ag. Petros;35,342416;25,131777;Υ;;coin;824;900;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;;;
348;Heraklion airport ;35,339693;25,181795;Υ;;coin;824;900;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;
349;Heraklion Temenos (Lykastos, Kanlikasteli, Rokka);35,203088;25,105453;Y;;city\fortification;301;1205;Gigourtakes, Nikos. 2015. The byzantine fortifications in Crete between 5th c. A.D. until 1206. Rethymno: MA dissertation.;;;;
350;Heraklion, Ag. Ioannis;35,299052;25,15061;Y;;settlement;401;824;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;between Heraklion and Knossos 
351;Heraklion, Ag. Ioannis;35,299052;25,15061;Y;;coint;824;900;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;;;
352;Hydramon;35,344122;24,312434;N;Y;city;401;700;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
353;Cha - Ag. Pandeleimon - GOUR67;35,08681;25,83272;Y;;settlement;201;700;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
354;Cha - paper mil - GOUR66;35,090218;25,832838;Y;;settlement;201;700;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
355;Chalkomatas cave ;35,229269;26,031777;Y;;settlement;301;824;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;or Charkomata
356;Chalkomatas cave ;35,229269;26,031777;Y;;settlement;961;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;or Charkomata
357;Chamalevri;35,372669;24,596938;Y;;coin;824;900;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;;;coordinates: village center
358;Chandras;35,08164;26,098393;Y;;settlement\cemetery;301;500;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;coordinates: village center
359;Chania - Kataki field ;35,514867;24,01753;N;;settlement\coin;201;500;ΑΔ 25, Μέρος Β΄- 2, 1970. Αρχαιότητες και μνημεία Δυτικής Κρήτης, 465 - 478. Αθήναι. ;;;;coordinates: center of the old city 
360;Chania - Kidonias str. ;35,512447;24,017121;Y;;settlement\coin;201;824;AΔ Β2 Χρονικά 33 (1978);;Andrianakes, Michales G. and Giapitsoglou, Kostas D. 2014. Christianika mnemeia tes Kretes. Heraklion. ;;
361;Chania - Kidonias str. ;35,512447;24,017121;Y;;settlement\coin;961;1205;AΔ Β2 Χρονικά 33 (1978);;Andrianakes, Michales G. and Giapitsoglou, Kostas D. 2014. Christianika mnemeia tes Kretes. Heraklion. ;;
362;Chania - Panagia (bishop church);35,515234;24,018322;Y;;settlement\church;901;1205;Gallas, Klaus, Klaus Wessel, and Manolis Borboudakis, M. 1983. Byzantinische Kreta, Műnchen.;;POULOU-PAPADEMETRIOU, N. 2011: Τεκμήρια υλικού πολιτισμού στη βυ-ζαντινή Κρήτη: από τον 7ο έως το τέλος του 12ου αιώνα, in E.G. KAP-SOMENOS - M. ANDREADAKI-VLAZAKI and M. ANDRIANAKIS (eds), Πε-πτραγμένα του Ι´ Διευθνούς Κρητολογικού Συνεδρίου (Χανιά, 1-8 Οκτωβρίου 2006), τόμος Α: Πανηγυρικές Συνεδρίες - Ολομέλειες - Στρογγυλές Τράπεζες - Οι διοργανωτές και το πρόγραμμα του Συνε-δρίου, Chania, p. 381-447.;;
363;Chania - parking ;35,515213;24,02443;Y;;city\settlement;201;824;ΑΔ Β2 Χρονικά 45 (1990);;;;
364;Chania - Tzanaki str. ;35,512475;24,023114;Y;;cemetery    ;201;824;ΑΔ Β2 Χρονικά 47 (1992);;ΑΔ Β2 Χρονικά 43 (1988);;
365;Chania - Tzanaki str. ;35,512475;24,023114;Y;;cemetery;961;1205;ΑΔ Β2 Χρονικά 47 (1992);;ΑΔ Β2 Χρονικά 43 (1988);;
366;Charakas Monofatsiou (Fort Chanali) ;35,010628;25,117923;Y;;fortification;901;1205;Pashley, Robert. 1991. Taxidia sten Krete. Heraklion: Vikelaia Demotike Vivliotheke. ;;;;NE of Kofines 
367;Chersonessos - Basilica A (Ag. Nikolaos);35,310778;25,4041;Y;;church;401;700;Volanakes, Ioannis. 1987. Ta palaiochristianika mnemeia tes Kretes. Kretika Chronika KZ', 235-261.;;Sanders, Ian F. 1982. Roman Crete: an archaeolog. survey and gazetteer of late Hellenistic, Roman and early Byzantine Crete. Warminster, Wilts: Aris & Phillips.;;
368;Chersonisos ;35,318823;25,389291;Y;Y;city\port\cemetery\church\coin\water construction;401;824;Sythiakaki, V. and Vassilakis, Z. (2013) Οι πρωτοβυζαντινές νεκροπόλεις της Χερσονήσου. In Γ΄ Παγκρήτια Συνάντηση. Αρχαιολογικό Έργο Κρήτης, 5–8 Δεκεμβρίου 2013. Σπίτι του Πολιτισμού / Αίθουσα Αγίου Φραγκίσκου / Παλιά Πόλη, Ρέθυμνο. Περιλήψεις, 54–5. Rethymnon;;POULOU-PAPADEMETRIOU, N. 2011: Τεκμήρια υλικού πολιτισμού στη βυ-ζαντινή Κρήτη: από τον 7ο έως το τέλος του 12ου αιώνα, in E.G. KAP-SOMENOS - M. ANDREADAKI-VLAZAKI and M. ANDRIANAKIS (eds), Πε-πτραγμένα του Ι´ Διευθνούς Κρητολογικού Συνεδρίου (Χανιά, 1-8 Οκτωβρίου 2006), τόμος Α: Πανηγυρικές Συνεδρίες - Ολομέλειες - Στρογγυλές Τράπεζες - Οι διοργανωτές και το πρόγραμμα του Συνε-δρίου, Chania, p. 381-447.;;
369;Chersonisos ;35,318823;25,389291;Y;Y;city\port\cemetery\church\coin\water construction;901;1205;Sythiakaki, V. and Vassilakis, Z. (2013) Οι πρωτοβυζαντινές νεκροπόλεις της Χερσονήσου. In Γ΄ Παγκρήτια Συνάντηση. Αρχαιολογικό Έργο Κρήτης, 5–8 Δεκεμβρίου 2013. Σπίτι του Πολιτισμού / Αίθουσα Αγίου Φραγκίσκου / Παλιά Πόλη, Ρέθυμνο. Περιλήψεις, 54–5. Rethymnon;;POULOU-PAPADEMETRIOU, N. 2011: Τεκμήρια υλικού πολιτισμού στη βυ-ζαντινή Κρήτη: από τον 7ο έως το τέλος του 12ου αιώνα, in E.G. KAP-SOMENOS - M. ANDREADAKI-VLAZAKI and M. ANDRIANAKIS (eds), Πε-πτραγμένα του Ι´ Διευθνούς Κρητολογικού Συνεδρίου (Χανιά, 1-8 Οκτωβρίου 2006), τόμος Α: Πανηγυρικές Συνεδρίες - Ολομέλειες - Στρογγυλές Τράπεζες - Οι διοργανωτές και το πρόγραμμα του Συνε-δρίου, Chania, p. 381-447.;;
370;Chersonisos - Analypsi ;35,333139;25,345111;Y;;settlement;501;700;AΔ Β2 Χρονικά 33 (1978);;;;Lyttos Beach, Akti Chersonisou a. e. plot, N of Alia Club 
371;Chersonisos - basilica B (Kastri);35,32317;25,392694;Y;;church\cemetery;201;700;Orlandos, A. K. 1960. To Ergon tes Archaiologikes Etairias kata to 1959. 33. Krete, Chersonesos. Ergon, 148-153. ;;Orlandos, A. K. 1957. To Ergon tes Archaiologikes Etairias kata to 1956. 34. Krete, Chersonesos (Kastri). Ergon, 118-123. ;;
372;Chersonisos - Dimokratias street;35,14839;25,388169;Y;;settlement\cemetery\cistern;201;700;ΑΔ Β2 Χρονικά 63 (2008);;;;4th century - destruction horizon
373;Chersonisos - Evaggelistria street ;35,317247;25,392023;Y;;cemetery;401;700;ΑΔ Β2 Χρονικά 63 (2008);;;;
374;Chersonisos - I. Pachynaki and N. DrakoPoulou plot;35,312395;25,398832;N;;settlement;301;700;ΑΔ Β2 Χρονικά 43 (1988);;;;coordinates: random spot in the center
375;Chersonisos - Minoos street;35,317458;25,391752;Y;;cemetery;201;600;ΑΔ Β2 Χρονικά 63 (2008);;;;
376;Chersonisos - Panigyri field (from the port to Ano Chersonosos);35,314916;25,380126;Ν;;cemetery;201;700;ΑΔ Β2 Χρονικά 63 (2008);;;;graves in grid - some of them mass graves, coordinates: in the middle of the distance 
377;Chersonisos - X. Doxastaki and Aikaterini Parlama (Beach drive);35,313551;25,397742;N;;settlement\coin\settlement;201;600;ΑΔ Β2 Χρονικά 63 (2008);;;;rich in finds: glass, coins etc., random spot on the Beach drive
378;Chondros;35,030395;25,379711;Y;;cemetery;401;600;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
379;Chora Sfakion;35,202068;24,135791;Y;;settlement;201;400;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;coordinates: village center
380;Chora Sfakion;35,202068;24,135791;Y;;settlement;1101;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
381;Chordakia - KAS37;35,130965;25,843728;Y;;settlement;301;600;Haggis, Donald C. 2006. Kavousi I: the archaeological survey of the Kavousi region. Philadelphia, Penn: INSTAP Academic Press.;http://dx.doi.org/10.2307/j.ctt3fgv78;;;
382;Chordakia KAS 28 (Kavousi);35,134132;25,847098;Y;;settlement;301;1205;Haggis, Donald C. 2006. Kavousi I: the archaeological survey of the Kavousi region. Philadelphia, Penn: INSTAP Academic Press.;http://dx.doi.org/10.2307/j.ctt3fgv79;;;
383;Chordakia KAS 29 (Kavousi);35,135115;25,845038;Y;;settlement;301;1205;Haggis, Donald C. 2006. Kavousi I: the archaeological survey of the Kavousi region. Philadelphia, Penn: INSTAP Academic Press.;http://dx.doi.org/10.2307/j.ctt3fgv80;;;
384;Chortazin;35,30059;24,350669;N;Y;settlement;401;700;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
385;Choumeriako - Panagia Koumpelina ;35,241756;25,628543;Υ;;church;1101;1205;ΑΔ 61 (2006);;Watrous, Livingston Vance. 1982. Lasithi, a history of settlement on a highland plain in Crete. Princeton, N.J.: American School of Classical Studies at Athens. http://catalog.hathitrust.org/api/volumes/oclc/6941716.html.;;
386;Choustouliana ;35,033479;24,936043;N;;settlement;201;824;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology;;;;coordinates: village center
387;Choustouliana ;35,033479;24,936043;N;;coin;824;900;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;;;coordinates: village center
388;Chrissi - Kefala - Site 19;34,879952;25,727886;Y;;settlement ;201;824;Chalikias, Kostas. 2013: Living on the Margin. Chryssi island and the settlement Patterns of the Ierapetra Area (Crete), British Archaeological Reports, Interna-tional Series 2549.;;;;
389;Chrissi - Kefala - Site 19;34,879952;25,727886;Y;;settlement;961;1205;Chalikias, Kostas. 2013: Living on the Margin. Chryssi island and the settlement Patterns of the Ierapetra Area (Crete), British Archaeological Reports, Interna-tional Series 2549.;;;;
390;Chrissi - Site 17;34,878323;25,731717;Y;;settlement;201;824;Chalikias, Kostas. 2013: Living on the Margin. Chryssi island and the settlement Patterns of the Ierapetra Area (Crete), British Archaeological Reports, Interna-tional Series 2549.;;;;
391;Chrissi - Site 17;34,878323;25,731717;Y;;settlement;961;1205;Chalikias, Kostas. 2013: Living on the Margin. Chryssi island and the settlement Patterns of the Ierapetra Area (Crete), British Archaeological Reports, Interna-tional Series 2549.;;;;
392;Christos (Roustika - Artos);35,307016;24,36018;Y;;settlement\church;961;1205;ΑΔ Χρονικά Β2 67 (2012);;;;situated in deserted village Artos, in the Roustika area, on the map and in theAtlas of Christian monuments named as St. George
393;Christos (Tzitzifies);35,370598;24,153384;Ν;;church;961;1205;Antourakes, Georgios. 1978. Toichografimenoi Byzantinoi Naoi tes Kretes. Eparchia: Sfakion - Apokoronou - Rethymnes. Volume A. Athens.;;;;approx. Location
394;Chromonastiri;35,318229;24,511557;Υ;;settlement\church;961;1205;Curuni S.A. 1988: L’ Istituto Veneto di Scienze, Lettere ed Arti e la missione cretese di Giuseppe Gerola, in: Curuni S.A. & Donati L. (eds), Creta Veneziana (Venice) 37-113.;;;;Panagia in abandoned village Kera: 11th - 14th c. after frescoes, Ag. Eftychios: 11th c., 10th c.? 
395;Chrysopolis - (E)xopolis;35,373261;24,242919;Y;Y;city;401;700;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
396;Chryssi - Kentra - Site 23;34,875949;25,683029;Y;;settlement;201;824;Chalikias, Kostas. 2013: Living on the Margin. Chryssi island and the settlement Patterns of the Ierapetra Area (Crete), British Archaeological Reports, Interna-tional Series 2549.;;;;
397;Chryssi - Kentra - Site 23;34,875949;25,683029;Y;;settlement;961;1205;Chalikias, Kostas. 2013: Living on the Margin. Chryssi island and the settlement Patterns of the Ierapetra Area (Crete), British Archaeological Reports, Interna-tional Series 2549.;;;;
398;Chryssi - Keramidia - Site 8;34,872661;25,682419;Y;;settlement;201;500;Chalikias, Kostas. 2013: Living on the Margin. Chryssi island and the settlement Patterns of the Ierapetra Area (Crete), British Archaeological Reports, Interna-tional Series 2549.;;;;
399;Chryssi - Kokkini Plaka - Site 24;34,878572;25,685357;Y;;settlement;201;824;Chalikias, Kostas. 2013: Living on the Margin. Chryssi island and the settlement Patterns of the Ierapetra Area (Crete), British Archaeological Reports, Interna-tional Series 2549.;;;;
400;Chryssi - Kokkini Plaka - Site 24;34,878572;25,685357;Y;;settlement;961;1205;Chalikias, Kostas. 2013: Living on the Margin. Chryssi island and the settlement Patterns of the Ierapetra Area (Crete), British Archaeological Reports, Interna-tional Series 2549.;;;;
401;Chryssi - Mouri - Site 1;34,88101;25,692717;Y;;settlement;201;824;Chalikias, Kostas. 2013: Living on the Margin. Chryssi island and the settlement Patterns of the Ierapetra Area (Crete), British Archaeological Reports, Interna-tional Series 2549.;;;;
